"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
"Griff Witte","October 31, 2016 Monday 8:17 AM GMT",,"Donald Trump and Brexit: How similar are they?; 'Im not persuaded, but I'm frightened,"" said King, who, like most Brits, is no fan of Trump. ""You can't utterly discount that possibility."",""1166 words","NA","The Independent (United Kingdom)","US ELECTIONS",
"By Jason Beattie","November 1, 2016 Tuesday 8:46 AM GMT",,"Donald Trump channels Brexit in US presidential race: Mirror Politics morning briefing; The Republican candidate boasts he will put off a victory that will be ""Brexit times ten"",""445 words","NA","mirror.co.uk","NEWS,UK NEWS",
"By Dan Bloom","October 21, 2016 Friday 10:44 AM GMT",,"Britain's former EU chief warns Theresa May not to choose 'Stupid Brexit'; Former EU commissioner Lord Hill made the stark comment today as he told of the ""danger"" Britain's negotiation could ""self-harm"",""343 words","NA","mirror.co.uk","NEWS,UK NEWS",
"Katie Forster","October 20, 2016 Thursday 3:05 PM GMT",,"Brexit: Masculine or feminine? Europe splits over gender of UK's EU withdrawal; European nations are divided over whether to say ""le Brexit","410 words","The Independent (United Kingdom)","EUROPE",
"Letters","October 27, 2016 Thursday 5:18 PM GMT",,"Despite Brexit, the government's support of Nissan will continue to give away tax payers' money to the EU; Please send your letters to letters@independent.co.uk","990 words","The Independent (United Kingdom)","LETTERS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","October 26, 2016 Wednesday 1:13 PM GMT",,"Britain will NOT suffer trade disruption even under a 'hard' Brexit, says World Trade Organisation chief as he vows to help us secure a 'smooth' EU divorce","985 words","MailOnline","NEWS",
"Ross Clark","October 29, 2016 Saturday 7:25 AM GMT",,"The UK economy is soaring in the run-up to Brexit, says Ross Clark","983 words","Express Online",,
"Polly Toynbee","October 27, 2016 Thursday 12:08 PM GMT",,"A vote against Zac Goldsmith is a vote against extreme Brexit; Labour should not contest the Richmond byelection. Instead, it should give the Lib Dems a clear run to beat the constituency's hard Brexit MP","983 words","The Guardian","OPINION",
"Roger Bootle","October 24, 2016 Monday",,"More than Brexit at work in large market movements","981 words","The Daily Telegraph (London)","BUSINESS; Pg. 2",
,"October 21, 2016 Friday",,"May has to give certainty that Brexit is irreversible; Letters","98 words","The Express","LETTERS; Pg. 23",
"Stephen Pollard, Political commentator","October 22, 2016 Saturday 12:01 AM GMT",,"Remoaner MPs are trying to sabotage Brexit negotiation","979 words","Express Online",,
"Patrick Wintour Diplomatic editor","October 30, 2016 Sunday 1:06 PM GMT",,"Greg Clark's big reveal on 'demeanour' of Brexit negotiations strategy; Business secretary's interview on Andrew Marr Show makes it clear UK will adopt sector-by-sector approach in Brexit talks","975 words","The Guardian","POLITICS",
,"October 28, 2016",,"May must acknowledge Brexit risks; The Opinion Matrix COMMENT FROM HOME & ABROAD GOLDMAN SACHS SPEECH","97 words","i-Independent Print Ltd","NEWS; Pg. 14",
"By Michael Wilkinson, Political Correspondent","October 26, 2016 Wednesday 7:03 AM GMT",,"Theresa May will 'make success of Brexit' despite leaked recordings of her expressing doubts","967 words","telegraph.co.uk","NEWS",
"Lana Clements","October 28, 2016 Friday 9:01 AM GMT",,"Stop bad-mouthing Britain! Treasury, Bank of England and IMF Brexit forecasts proved wrong","958 words","Express Online",,
"Angela Monaghan","October 24, 2016 Monday 1:00 PM GMT",,"The Brexit economy: falling pound and rising inflation fuel fears of slowdown; The latest monthly Guardian analysis of a dashboard of data points to the UK economy starting to lose momentum after the EU referendum· Help fund our journalism by becoming a Guardian supporter","956 words","The Guardian","BUSINESS",
"By Ben Riley-Smith, Assistant Political Editor","October 29, 2016 Saturday 8:30 PM GMT",,"Hard Brexit could help secure trade deals worth double EU agreements, say Eurosceptics","954 words","telegraph.co.uk","NEWS",
"Nick Gutteridge","October 24, 2016 Monday 7:30 PM GMT",,"BRUSSELS TO DECIDE ON BREXIT: Warning Euro judges could TAKE CONTROL over Article 50 terms","954 words","Express Online",,
"Alexi Duggins","October 26, 2016 Wednesday 9:00 AM GMT",,"Nigel Farage the sitcom: is Brexit's cheerleader beyond a joke?; A new one-off comedy follows the Ukip poster boy as he swaps politics for watching Pointless and going down the pub. But is it humanising his hatred?","953 words","The Guardian","TELEVISION & RADIO",
"DANIEL MARTIN AND HOLLY BLACK","October 24, 2016 Monday 12:01 AM GMT",,"It's nonsense! Banks dismiss gloom-laden claim they'll quit the UK after Brexit","952 words","MailOnline","NEWS",
,"October 29, 2016",,"Will he fall in the Brexit revolution?; The Opinion Matrix COMMENT FROM HOME & ABROAD THE FATE OF MARK CARNEY","95 words","i-Independent Print Ltd","NEWS; Pg. 16",
,"October 22, 2016",,"Republic may be the key to soft Brexit; The Opinion Matrix COMMENT FROM HOME & ABROAD IRELAND'S EU DEAL","95 words","i-Independent Print Ltd","NEWS; Pg. 16",
"KEILIGH BAKER FOR MAILONLINE","October 21, 2016 Friday 9:18 AM GMT",,"Have a break, have a Brexit! Swiss firm Nestle threatens to raise the price of a Kit Kat and other family favourites because the plunging pound is hitting profits","944 words","MailOnline","NEWS",
"James Quinn","October 25, 2016 Tuesday",,"Banks are here to stay, whatever the Brexit deal","943 words","The Daily Telegraph (London)","BUSINESS; Pg. 2",
"By Nick Allen","November 1, 2016 Tuesday 3:31 AM GMT",,"Donald Trump launches full-frontal assault on safe Democratic states promising 'Brexit times 10'","939 words","telegraph.co.uk","NEWS",
"Victoria Coren Mitchell","October 23, 2016 Sunday 12:05 AM GMT",,"Six safe subjects for small talk in a Brexit- and Corbyn-torn world; Conversation has turned toxic in our bitterly divided land. Here's my survival guide...","938 words","The Observer (London)","OPINION",
"By Laura Hughes, Political Correspondent","October 28, 2016 Friday 6:55 AM GMT",,"Minister convinced Nissan to keep building in UK with written promise it would not lose out post-Brexit","935 words","telegraph.co.uk","NEWS",
"ALASTAIR MACDONALD","October 24, 2016 Monday 7:12 AM GMT",,"Still here? British lawmakers say they are being left 'sidelined and isolated' in Brussels after Brexit; 'Why should anyone listen to us?'sayBritish membersof the European Parliament","935 words","The Independent (United Kingdom)","UK POLITICS",
"TONY BLAIR","October 29, 2016 Saturday",,"If Brexit is a disaster we must have right to change our mind; As the pound crashes and firms cut back, ex-PM's plea","934 words","Daily Mirror","EDITORIAL; OPINION; LEADING ARTICLES; Pg. 8",
"DAVID MARTOSKO, US POLITICAL EDITOR FOR DAILYMAIL.COM IN JOHNSTOWN, PENNSYLVANIA","October 21, 2016 Friday 10:45 PM GMT",,"'We will shock the world!' Trump predicts 'Brexit-plus' victory as he blames reporters Clintonworld sees as 'friendly and malleable' for standing in his way","934 words","MailOnline","NEWS",
